session_ts,restored,step,sim_time_sec,pos_x,pos_y,pos_z,yaw,body_vx,body_wz,lift_z,target_v,target_yaw,target_lift,phase
2026-02-23 12:20:40,0,1120,1.119,-3.35883e-05,2.79047e-19,0.49966,-3.03888e-19,1.35658e-05,4.15468e-18,-0.0897867,-0,-0,0.0328,1
2026-02-23 12:20:40,0,1130,1.129,-3.34539e-05,2.77268e-19,0.49966,-2.98296e-19,1.33243e-05,-1.34471e-18,-0.089786,-0,-0,0.0348,1
2026-02-23 12:20:40,0,1140,1.139,-3.33213e-05,2.73122e-19,0.49966,-3.15669e-19,1.31841e-05,-7.22886e-19,-0.0897852,-0,-0,0.0368,1
2026-02-23 12:20:40,0,1150,1.149,-3.31899e-05,2.66653e-19,0.49966,-2.99498e-19,1.31037e-05,-3.91192e-19,-0.0897845,-0,-0,0.0388,1
2026-02-23 12:20:40,0,1160,1.159,-3.30591e-05,2.63594e-19,0.49966,-2.8645e-19,1.30579e-05,-4.71308e-19,-0.0897837,-0,-0,0.0408,1
2026-02-23 12:20:40,0,1170,1.169,-3.29287e-05,2.60048e-19,0.49966,-3.0467e-19,1.30316e-05,-2.03975e-18,-0.089783,-0,-0,0.0428,1
2026-02-23 12:20:40,0,1180,1.179,-3.27984e-05,2.57818e-19,0.49966,-3.26989e-19,1.30163e-05,-3.19993e-18,-0.0897822,-0,-0,0.0448,1
2026-02-23 12:20:40,0,1190,1.189,-3.26683e-05,2.5294e-19,0.49966,-3.59396e-19,1.30072e-05,-3.70272e-18,-0.0897815,-0,-0,0.0468,1
2026-02-23 12:20:40,0,1200,1.199,-3.25383e-05,2.44625e-19,0.49966,-3.60017e-19,1.30016e-05,1.28414e-18,-0.0897807,-0,-0,0.0488,1
2026-02-23 12:20:40,0,1210,1.209,-3.24083e-05,2.39275e-19,0.49966,-3.42618e-19,1.29981e-05,-2.23702e-19,-0.08978,-0,-0,0.0508,1
2026-02-23 12:20:40,0,1220,1.219,-3.22784e-05,2.39393e-19,0.49966,-3.46398e-19,1.29958e-05,-2.11194e-18,-0.0897793,-0,-0,0.0528,1
2026-02-23 12:20:40,0,1230,1.229,-3.21484e-05,2.38339e-19,0.49966,-3.59156e-19,1.29943e-05,-4.84823e-19,-0.0897785,-0,-0,0.0548,1
2026-02-23 12:20:40,0,1240,1.239,-3.20185e-05,2.33033e-19,0.49966,-3.67591e-19,1.29933e-05,3.13887e-19,-0.0897778,-0,-0,0.0568,1
2026-02-23 12:20:40,0,1250,1.249,-3.18886e-05,2.35291e-19,0.49966,-3.48965e-19,1.29925e-05,-3.09255e-18,-0.089777,-0,-0,0.0588,1
2026-02-23 12:20:40,0,1260,1.259,-3.17587e-05,2.37154e-19,0.49966,-3.6908e-19,1.29919e-05,-1.8573e-18,-0.0897763,-0,-0,0.0608,1
2026-02-23 12:20:40,0,1270,1.269,-3.16288e-05,2.42682e-19,0.49966,-3.8862e-19,1.29913e-05,-1.01483e-18,-0.0897755,-0,-0,0.0628,1
2026-02-23 12:20:40,0,1280,1.279,-3.14989e-05,2.44344e-19,0.49966,-4.0199e-19,1.29907e-05,-3.30819e-18,-0.0897748,-0,-0,0.0648,1
2026-02-23 12:20:40,0,1290,1.289,-3.1369e-05,2.46824e-19,0.49966,-4.23811e-19,1.29901e-05,-5.43019e-18,-0.089774,-0,-0,0.0668,1
2026-02-23 12:20:40,0,1300,1.299,-3.12391e-05,2.46824e-19,0.49966,-4.57683e-19,1.29895e-05,1.25424e-18,-0.0897733,-0,-0,0.0688,1
2026-02-23 12:20:40,0,1310,1.309,-3.11092e-05,2.4612e-19,0.49966,-4.56799e-19,1.29888e-05,1.54898e-18,-0.0897726,-0,-0,0.0708,1
2026-02-23 12:20:40,0,1320,1.319,-3.09794e-05,2.50341e-19,0.49966,-4.56162e-19,1.2988e-05,-6.35834e-19,-0.0897718,-0,-0,0.0728,1
2026-02-23 12:20:40,0,1330,1.329,-3.08495e-05,2.59286e-19,0.49966,-4.58439e-19,1.29873e-05,-2.05567e-19,-0.0897711,-0,-0,0.0748,1
2026-02-23 12:20:40,0,1340,1.339,-3.07197e-05,2.67966e-19,0.49966,-4.56132e-19,1.29722e-05,8.72593e-19,-0.0897701,-0,-0,0.0768,1
2026-02-23 12:20:40,0,1350,1.349,-3.05897e-05,2.72924e-19,0.49966,-4.57252e-19,1.30395e-05,-1.27782e-18,-0.0897652,-0,-0,0.0788,1
2026-02-23 12:20:40,0,1360,1.359,-3.04592e-05,2.81624e-19,0.49966,-4.62234e-19,1.30635e-05,2.6338e-18,-0.0897503,-0,-0,0.0808,1
2026-02-23 12:20:40,0,1370,1.369,-3.03288e-05,2.87478e-19,0.49966,-4.4812e-19,1.29892e-05,-1.25274e-18,-0.0897202,-0,-0,0.0828,1
2026-02-23 12:20:40,0,1380,1.379,-3.01996e-05,2.94154e-19,0.49966,-4.76883e-19,1.28263e-05,-1.59994e-18,-0.0896708,-0,-0,0.0848,1
2026-02-23 12:20:40,0,1390,1.389,-3.00723e-05,3.0796e-19,0.49966,-4.89693e-19,1.26054e-05,-1.97175e-18,-0.0895987,-0,-0,0.0868,1
2026-02-23 12:20:40,0,1400,1.399,-2.99473e-05,3.22853e-19,0.49966,-5.19165e-19,1.23569e-05,-4.18156e-18,-0.0895011,-0,-0,0.0888,1
2026-02-23 12:20:40,0,1410,1.409,-2.98249e-05,3.34724e-19,0.49966,-5.60058e-19,1.21039e-05,-2.67534e-18,-0.089376,-0,-0,0.0908,1
2026-02-23 12:20:40,0,1420,1.419,-2.9705e-05,3.47707e-19,0.49966,-6.08133e-19,1.18607e-05,-2.72025e-18,-0.0892216,-0,-0,0.0928,1
2026-02-23 12:20:40,0,1430,1.429,-2.95874e-05,3.60353e-19,0.49966,-6.46647e-19,1.16346e-05,-5.27322e-18,-0.0890366,-0,-0,0.0948,1
2026-02-23 12:20:40,0,1440,1.439,-2.9472e-05,3.75608e-19,0.49966,-6.80389e-19,1.14281e-05,8.39218e-19,-0.08882,-0,-0,0.0968,1
2026-02-23 12:20:40,0,1450,1.449,-2.93586e-05,3.85685e-19,0.499659,-6.89806e-19,1.12408e-05,-1.0736e-19,-0.0885712,-0,-0,0.0988,1
2026-02-23 12:20:40,0,1460,1.459,-2.92469e-05,3.89484e-19,0.499659,-7.10297e-19,1.10712e-05,-3.90046e-18,-0.0882896,-0,-0,0.1008,1
2026-02-23 12:20:40,0,1470,1.469,-2.91369e-05,3.9177e-19,0.499659,-7.46076e-19,1.0917e-05,-1.8812e-18,-0.087975,-0,-0,0.1028,1
2026-02-23 12:20:40,0,1480,1.479,-2.90284e-05,3.96632e-19,0.499659,-7.50358e-19,1.0776e-05,-3.07852e-19,-0.0876273,-0,-0,0.1048,1
2026-02-23 12:20:40,0,1490,1.489,-2.89213e-05,4.03043e-19,0.499659,-7.53122e-19,1.06463e-05,8.47215e-19,-0.0872465,-0,-0,0.1068,1
